"","feature","frequency","rank","docfreq","group"
"1","high_school",5116,1,4055,"all"
"2","inc_provide",4288,2,4287,"all"
"3","foundation_inc",3943,3,3654,"all"
"4","inc_mission",3861,4,3860,"all"
"5","mission_provide",3123,5,3119,"all"
"6","s_mission",2407,6,2400,"all"
"7","raise_funds",2161,7,2130,"all"
"8","inc_organization",2142,8,2142,"all"
"9","booster_club",1912,9,1528,"all"
"10","exclusively_charitable",1841,10,1839,"all"
"11","provide_support",1616,11,1597,"all"
"12","charitable_educational",1600,12,1591,"all"
"13","section_c",1552,13,1543,"all"
"14","quality_life",1548,14,1539,"all"
"15","organized_exclusively",1502,15,1501,"all"
"16","corporation_organized",1491,16,1486,"all"
"17","organization_s",1374,17,1368,"all"
"18","life_skills",1340,18,1306,"all"
"19","mental_health",1314,19,1111,"all"
"20","low_income",1287,20,1249,"all"
"21","educational_purposes",1220,21,1214,"all"
"22","jesus_christ",1216,22,1170,"all"
"23","provide_educational",1205,23,1199,"all"
"24","financial_support",1204,24,1186,"all"
"25","inc_purpose",1193,25,1193,"all"
"26","provide_financial",1160,26,1150,"all"
"27","charitable_purposes",1152,27,1145,"all"
"28","club_inc",1130,28,1067,"all"
"29","purpose_organization",1125,29,1123,"all"
"30","raise_money",1113,30,1096,"all"
"31","financial_assistance",1099,31,1093,"all"
"32","inc_promote",1067,32,1067,"all"
"33","ministries_inc",1065,33,972,"all"
"34","individuals_families",1055,34,1041,"all"
"35","organization_provide",1034,35,1029,"all"
"36","organization_formed",1033,36,1027,"all"
"37","community_outreach",1008,37,966,"all"
"38","purpose_corporation",1001,38,1001,"all"
"39","united_states",988,39,953,"all"
"40","foundation_provide",978,40,978,"all"
"41","non-profit_organization",944,41,942,"all"
"42","young_adults",942,42,911,"all"
"43","internal_revenue",910,43,905,"all"
"44","educational_programs",905,44,895,"all"
"45","revenue_code",866,45,863,"all"
"46","community_service",851,46,838,"all"
"47","community_development",848,47,770,"all"
"48","food_clothing",840,48,831,"all"
"49","provide_education",822,49,817,"all"
"50","foundation_mission",805,50,805,"all"
"51","elementary_school",804,51,644,"all"
"52","special_needs",792,52,714,"all"
"53","general_public",792,52,779,"all"
"54","youth_sports",789,54,688,"all"
"55","provide_assistance",783,55,775,"all"
"56","c_internal",781,56,780,"all"
"57","local_community",779,57,768,"all"
"58","inc_corporation",774,58,774,"all"
"59","including_limited",765,59,763,"all"
"60","educate_public",764,60,761,"all"
"61","middle_school",763,61,567,"all"
"62","non_profit",760,62,743,"all"
"63","improve_quality",723,63,722,"all"
"64","raise_awareness",717,64,713,"all"
"65","school_students",714,65,707,"all"
"66","charitable_organization",710,66,707,"all"
"67","mission_help",702,67,701,"all"
"68","young_people",700,68,670,"all"
"69","organization_dedicated",698,69,697,"all"
"70","school_district",689,70,643,"all"
"71","children_families",679,71,667,"all"
"72","association_inc",678,72,649,"all"
"73","inc_support",668,73,668,"all"
"74","charitable_religious",656,74,654,"all"
"75","educational_opportunities",652,75,646,"all"
"76","provide_safe",651,76,650,"all"
"77","law_enforcement",647,77,529,"all"
"78","performing_arts",645,78,532,"all"
"79","specific_purpose",640,79,639,"all"
"80","nonprofit_organization",639,80,638,"all"
"81","religious_educational",637,81,633,"all"
"82","mission_organization",630,82,629,"all"
"83","animal_rescue",617,83,530,"all"
"84","center_inc",616,84,565,"all"
"85","youth_baseball",615,85,512,"all"
"86","educational_scientific",611,86,610,"all"
"87","support_services",610,87,595,"all"
"88","provide_scholarships",610,87,607,"all"
