,feature,pattern,code,Include
1,high_school,high school,high_school=c('high school'),y
2,inc_provide,inc provide,inc_provide=c('inc provide'),n
3,foundation_inc,foundation inc,foundation_inc=c('foundation inc'),n
4,inc_mission,inc mission,inc_mission=c('inc mission'),n
5,mission_provide,mission provide,mission_provide=c('mission provide'),n
6,s_mission,s mission,s_mission=c('s mission'),n
7,raise_funds,raise funds,raise_funds=c('raise funds'),n
8,inc_organization,inc organization,inc_organization=c('inc organization'),n
9,booster_club,booster club,booster_club=c('booster club'),n
10,exclusively_charitable,exclusively charitable,exclusively_charitable=c('exclusively charitable'),n
11,provide_support,provide support,provide_support=c('provide support'),n
12,charitable_educational,charitable educational,charitable_educational=c('charitable educational'),n
13,section_c,section c,section_c=c('section c'),y
14,quality_life,quality life,quality_life=c('quality life'),y
15,organized_exclusively,organized exclusively,organized_exclusively=c('organized exclusively'),n
16,corporation_organized,corporation organized,corporation_organized=c('corporation organized'),n
17,organization_s,organization s,organization_s=c('organization s'),y
18,life_skills,life skills,life_skills=c('life skills'),y
19,mental_health,mental health,mental_health=c('mental health'),y
20,low_income,low income,low_income=c('low income'),y
21,educational_purposes,educational purposes,educational_purposes=c('educational purposes'),n
22,jesus_christ,jesus christ,jesus_christ=c('jesus christ'),n
23,provide_educational,provide educational,provide_educational=c('provide educational'),n
24,financial_support,financial support,financial_support=c('financial support'),n
25,inc_purpose,inc purpose,inc_purpose=c('inc purpose'),n
26,provide_financial,provide financial,provide_financial=c('provide financial'),n
27,charitable_purposes,charitable purposes,charitable_purposes=c('charitable purposes'),n
28,club_inc,club inc,club_inc=c('club inc'),n
29,purpose_organization,purpose organization,purpose_organization=c('purpose organization'),n
30,raise_money,raise money,raise_money=c('raise money'),n
31,financial_assistance,financial assistance,financial_assistance=c('financial assistance'),y
32,inc_promote,inc promote,inc_promote=c('inc promote'),n
33,ministries_inc,ministries inc,ministries_inc=c('ministries inc'),n
34,individuals_families,individuals families,individuals_families=c('individuals families'),y
35,organization_provide,organization provide,organization_provide=c('organization provide'),n
36,organization_formed,organization formed,organization_formed=c('organization formed'),n
37,community_outreach,community outreach,community_outreach=c('community outreach'),y
38,purpose_corporation,purpose corporation,purpose_corporation=c('purpose corporation'),n
39,united_states,united states,united_states=c('united states'),y
40,foundation_provide,foundation provide,foundation_provide=c('foundation provide'),n
41,non-profit_organization,non-profit organization,non-profit_organization=c('non-profit organization'),y
42,young_adults,young adults,young_adults=c('young adults'),y
43,internal_revenue,internal revenue,internal_revenue=c('internal revenue'),y
44,educational_programs,educational programs,educational_programs=c('educational programs'),n
45,revenue_code,revenue code,revenue_code=c('revenue code'),y
46,community_service,community service,community_service=c('community service'),y
47,community_development,community development,community_development=c('community development'),y
48,food_clothing,food clothing,food_clothing=c('food clothing'),n
49,provide_education,provide education,provide_education=c('provide education'),n
50,foundation_mission,foundation mission,foundation_mission=c('foundation mission'),n
51,elementary_school,elementary school,elementary_school=c('elementary school'),y
52,special_needs,special needs,special_needs=c('special needs'),y
53,general_public,general public,general_public=c('general public'),y
54,youth_sports,youth sports,youth_sports=c('youth sports'),y
55,provide_assistance,provide assistance,provide_assistance=c('provide assistance'),y
56,c_internal,c internal,c_internal=c('c internal'),y
57,local_community,local community,local_community=c('local community'),y
58,inc_corporation,inc corporation,inc_corporation=c('inc corporation'),n
59,including_limited,including limited,including_limited=c('including limited'),n
60,educate_public,educate public,educate_public=c('educate public'),n
61,middle_school,middle school,middle_school=c('middle school'),y
62,non_profit,non profit,non_profit=c('non profit'),y
63,improve_quality,improve quality,improve_quality=c('improve quality'),n
64,raise_awareness,raise awareness,raise_awareness=c('raise awareness'),n
65,school_students,school students,school_students=c('school students'),y
66,charitable_organization,charitable organization,charitable_organization=c('charitable organization'),y
67,mission_help,mission help,mission_help=c('mission help'),n
68,young_people,young people,young_people=c('young people'),y
69,organization_dedicated,organization dedicated,organization_dedicated=c('organization dedicated'),n
70,school_district,school district,school_district=c('school district'),y
71,children_families,children families,children_families=c('children families'),y
72,association_inc,association inc,association_inc=c('association inc'),n
73,inc_support,inc support,inc_support=c('inc support'),n
74,charitable_religious,charitable religious,charitable_religious=c('charitable religious'),n
75,educational_opportunities,educational opportunities,educational_opportunities=c('educational opportunities'),n
76,provide_safe,provide safe,provide_safe=c('provide safe'),n
77,law_enforcement,law enforcement,law_enforcement=c('law enforcement'),y
78,performing_arts,performing arts,performing_arts=c('performing arts'),n
79,specific_purpose,specific purpose,specific_purpose=c('specific purpose'),y
80,nonprofit_organization,nonprofit organization,nonprofit_organization=c('nonprofit organization'),y
81,religious_educational,religious educational,religious_educational=c('religious educational'),n
82,mission_organization,mission organization,mission_organization=c('mission organization'),n
83,animal_rescue,animal rescue,animal_rescue=c('animal rescue'),y
84,center_inc,center inc,center_inc=c('center inc'),n
85,youth_baseball,youth baseball,youth_baseball=c('youth baseball'),y
86,educational_scientific,educational scientific,educational_scientific=c('educational scientific'),n
87,support_services,support services,support_services=c('support services'),y
88,provide_scholarships,provide scholarships,provide_scholarships=c('provide scholarships'),n
